geolocation_lat_cus,geolocation_lng_cus,jour_depart,jour_arriver
-11.504137772643931,-54.875626404244,0,2
-22.96284379043934,-43.401165783067334,4,2
-22.878043319496516,-43.562917395844316,0,1
-20.22052678746204,-50.90342436588621,0,0
-22.870934109341068,-43.769012683026745,1,4
-22.91285701073434,-43.188349118438026,1,0
-22.780736129682907,-46.58886710961832,4,2
-23.55347000551166,-46.58779032038251,3,1
-27.60657304539599,-48.59271208975145,2,4
-27.60657304539599,-48.59271208975145,2,4
-27.60657304539599,-48.59271208975145,2,4
-22.93768625306415,-43.248869434179475,2,5
-23.532704021465534,-46.68485034486324,4,1
-23.532704021465534,-46.68485034486324,4,1
-8.66225420822748,-35.152712464101555,1,3
-22.905686000249105,-43.177156307060464,2,2
-20.30061469936145,-40.29502806253336,1,2
-23.609836678101782,-46.531199708357384,0,5
-15.250875904857965,-40.244240103769606,0,2
-28.629204719725085,-53.09899628853221,1,0
-23.818390396830004,-46.08062370343074,3,2
-23.818390396830004,-46.08062370343074,2,1
-29.995565074510537,-51.10254019758514,3,4
-23.329721686232066,-46.59712215964799,1,0
-23.60799170531016,-46.4307496005837,1,0
-23.60799170531016,-46.4307496005837,1,0
-23.534966496904087,-47.440266039002715,4,3
-20.340445218381113,-49.198275093781916,4,4
-20.340445218381113,-49.198275093781916,4,4
-20.814771998995376,-49.50692752488182,2,1
-23.640143776337077,-46.51615947521017,3,1
-21.530164261618424,-42.640898618181694,0,2
-21.530164261618424,-42.640898618181694,0,2
-23.53931175923078,-46.400469886641815,2,2
-23.53931175923078,-46.400469886641815,0,5
-20.860485103348747,-40.935260116087434,1,1
-19.927104133305782,-43.94496355953477,3,2
-18.93168965524821,-48.315055108323534,0,5
-23.19481431742845,-46.89679928100818,3,2
-8.210337611133571,-35.57998328149303,0,4
-22.906575946931888,-43.28819167590577,2,1
-23.688118958076767,-46.55322175065381,0,3
-23.688118958076767,-46.55322175065381,0,3
-22.78456265700059,-43.32313609196811,4,4
-16.762133114100433,-49.29403499532153,3,3
-16.762133114100433,-49.29403499532153,2,4
-16.762133114100433,-49.29403499532153,2,4
-23.03214216117352,-45.570461272718184,2,2
-19.91112837775807,-43.925736577948065,4,0
-21.718907282263547,-43.065123888195494,1,1
-22.93198016932755,-47.11184149169856,2,2
-18.8516272227244,-50.14079055085753,5,4
-16.655032815603732,-49.279690009256925,1,2
-22.879476747053328,-43.44026398123803,0,2
-23.482530078191157,-46.675327267654936,0,5
-20.655803964613053,-43.77785932514866,0,2
-23.52988484574127,-46.65527643333265,3,2
-23.000618991095767,-43.40471828456726,4,0
-23.000618991095767,-43.40471828456726,3,4
-22.892057554565948,-47.08244278411783,2,2
-22.892057554565948,-47.08244278411783,3,2
-22.892057554565948,-47.08244278411783,1,0
-22.892057554565948,-47.08244278411783,4,4
-19.90491827268253,-43.936891702496084,3,3
-28.389129389833048,-51.84383599037798,3,0
-18.949518957205385,-48.276290012747964,4,1
-23.671209032059874,-46.49116730072025,1,4
-23.671209032059874,-46.49116730072025,2,4
-23.671209032059874,-46.49116730072025,2,4
-30.0289981741667,-51.18923930531899,0,4
-23.54481729868081,-46.56210024419572,0,0
-23.138276989175576,-46.468612532513475,1,0
-23.681661597834147,-46.62333330778581,3,1
-22.92451050972751,-43.635297057314204,3,1
-23.62257884365776,-47.01272716168212,0,0
-27.004476508038568,-51.152537104238675,1,0
-23.50014237012941,-46.43458554897361,0,5
-23.50014237012941,-46.43458554897361,3,4
-25.640064483362192,-48.42767049926184,3,3
-23.549328970281234,-46.65089009868756,4,2
-23.666106180880536,-46.77934000250038,0,4
-16.064382329437276,-57.68804700926159,3,2
-23.622287896060012,-46.536900867948354,1,0
-29.381737615662075,-50.874011599256285,1,3
-23.597787481892404,-46.68397116792922,1,1
-31.327267622414173,-54.106450230952476,2,2
-31.327267622414173,-54.106450230952476,3,5
-19.897716877170648,-43.98517637288425,2,4
-19.9318555870041,-43.932647431010245,2,2
-19.613117562252103,-44.039892263544594,1,1
-23.56143389553579,-46.689846013675314,1,4
-21.55285988163456,-42.19618878044137,0,4
-23.954600476312862,-46.33773115347321,2,4
-23.984858304705966,-46.30206995146365,4,2
-22.90601575067141,-43.36498024634206,0,2
-21.3059583696182,-46.714077890477725,2,3
-21.727600198273002,-41.30591214558141,4,4
-21.74231062666481,-41.356585467868115,4,1
-23.546703359402947,-46.899836240193736,5,5
-23.022806049124327,-45.550847355737346,0,3
-23.62020569014463,-46.56414467348053,1,3
-22.89512617328999,-43.357502145957014,3,0
-22.89512617328999,-43.357502145957014,3,0
-22.88836867261115,-43.580909494482974,0,1
-23.554625139986463,-46.92343724780601,2,5
-20.500058430359527,-54.58520628491055,3,1
-22.869656945184232,-42.32141493624608,3,4
-22.869656945184232,-42.32141493624608,0,2
-22.869656945184232,-42.32141493624608,3,4
-22.869656945184232,-42.32141493624608,0,3
-29.540942398695503,-49.885266906033536,1,4
-28.21190081909877,-51.52518474256216,5,0
-23.42758013219902,-46.346562429260715,2,0
-24.303098802679962,-46.9870489791363,4,2
-22.841108341963054,-47.103888895009995,2,0
-23.440607961411967,-46.79235580972824,0,5
-23.211336157869354,-46.88030293880771,0,4
-23.211336157869354,-46.88030293880771,0,4
-23.211336157869354,-46.88030293880771,3,4
-23.211336157869354,-46.88030293880771,3,4
-23.211336157869354,-46.88030293880771,3,4
-23.211336157869354,-46.88030293880771,3,4
-23.211336157869354,-46.88030293880771,3,4
-23.211336157869354,-46.88030293880771,3,2
-23.211336157869354,-46.88030293880771,3,2
-22.60728606434381,-43.298574737764824,0,3
-20.80037808685989,-40.64884981550936,0,2
-22.753451244075407,-47.327016322312964,1,4
-23.45203458939663,-46.68707135277251,1,3
-22.545549881862087,-44.23261292062815,2,3
-22.545549881862087,-44.23261292062815,2,3
-22.809517664348753,-43.200203165435006,3,2
-23.02047073733489,-43.46265642068308,2,4
-30.017451288062443,-51.18959331993066,1,4
-20.01516131652097,-45.97684756408032,3,1
-22.570721481502538,-47.40309520372463,0,4
-25.69432331065044,-52.61883750606225,0,4
-14.139317335379081,-47.51689810696473,0,4
-22.922758980989432,-43.246104027508046,3,3
-22.922758980989432,-43.246104027508046,3,3
-22.922758980989432,-43.246104027508046,3,3
-22.922758980989432,-43.246104027508046,3,3
-23.577776656858877,-46.756086287613385,0,5
-14.404103359723553,-42.0776218392208,4,0
-23.50325736152079,-46.72035402820786,3,1
-18.85534971833756,-41.94652108961764,1,1
-19.88490042924917,-43.664952945629864,1,2
-19.88490042924917,-43.664952945629864,1,2
-21.244708636505763,-44.999201639430474,3,1
-20.610108566038736,-42.14637144350596,1,4
-8.119758965747844,-36.34744143794997,3,2
-22.369169974758755,-47.362793483002655,1,6
-20.391011466737933,-43.507047162023504,0,0
-22.421689729782344,-42.9672409578695,2,2
-20.839948654995545,-40.73441103540228,4,1
-20.839948654995545,-40.73441103540228,0,1
-22.22931064913059,-50.89468127107785,3,4
-22.22931064913059,-50.89468127107785,0,3
-22.71192787043257,-42.630041139512336,4,4
-23.6698729598244,-46.476213062702314,1,4
-23.514486567730298,-46.39218021781278,1,0
-29.895591601936324,-50.25566064711839,2,4
-22.93017427826791,-43.346440388090066,3,2
-20.652998586134935,-40.48707808325544,1,4
-21.57441686181786,-41.91166380686361,3,4
-23.188409628905863,-46.85398781828784,2,2
-23.188409628905863,-46.85398781828784,2,2
-21.213809752116315,-47.79487457172354,1,0
-23.55764745539649,-46.93978258666857,3,0
-23.54493260145606,-46.428857743416565,4,0
-22.027256822202894,-42.36626102797319,3,2
-22.79357602214079,-47.156760769068185,3,3
-23.542057866239556,-46.84312392349168,0,4
-13.002072619923947,-38.463023590819006,3,2
-21.225722260767267,-43.78891728173813,4,1
-21.225722260767267,-43.78891728173813,2,0
-23.552778010115727,-46.653207700490654,2,0
-23.571275869065445,-46.479396724588405,2,1
-23.571275869065445,-46.479396724588405,1,0
-22.93017458401669,-43.396083912145656,4,2
-25.4883710064891,-54.521640728056056,1,5
-23.012986504226514,-43.46551954103293,3,2
-23.034454768574385,-46.98122363680282,0,4
-23.034454768574385,-46.98122363680282,0,4
-23.60682154714043,-46.62265554227447,2,0
-22.89044829208524,-43.42058389455041,1,0
-22.005220870242518,-47.856216319424995,1,1
-20.458253768528138,-54.59772469153679,0,1
-20.489535859643947,-54.622008691994544,0,1
-22.71547698104856,-43.45497446506072,0,0
-23.564028977467746,-46.634953911249525,4,2
-23.564028977467746,-46.634953911249525,4,2
-23.46535113147831,-46.33959705106874,2,0
-22.897989740168892,-43.668559184847275,3,0
-20.8944987962768,-51.373938917694275,2,2
-23.481599635478855,-47.448214832826004,3,3
-23.181161077296625,-50.64960783251925,4,1
-22.586590147687158,-47.51434485228315,4,3
-17.364555680535215,-44.98464723646802,3,2
-23.11639934914989,-47.237826541562605,0,4
-21.009874555429974,-48.21925564009412,0,3
-21.009874555429974,-48.21925564009412,2,0
-21.48639335970809,-51.533744143993815,4,3
-26.889322403539186,-49.35056297333394,3,0
-20.71682359973729,-47.879535006808936,1,0
-20.71682359973729,-47.879535006808936,1,0
-20.553623627436433,-47.38735911880558,3,1
-20.553623627436433,-47.38735911880558,1,3
-20.553623627436433,-47.38735911880558,1,1
-22.88654522617877,-43.281578990708276,1,0
-22.822624306841355,-43.003093742121536,0,0
-15.772888898609333,-47.88628830959998,0,6
-15.772888898609333,-47.88628830959998,0,6
-20.00254587721195,-44.02135117438735,0,3
-20.00254587721195,-44.02135117438735,0,3
-19.506713154390688,-42.6286140396501,0,0
-23.447963485352826,-46.43878764601883,0,3
-23.61384383756397,-46.467275229586726,3,0
-24.111895557479226,-46.66543742176822,4,0
-21.2634592201143,-48.49549672750634,0,5
-21.2634592201143,-48.49549672750634,3,2
-23.588287466102194,-46.741709883898565,2,0
-12.99779140672694,-38.52110269341218,2,5
-26.77229470653246,-50.006069397581825,2,1
-19.923884704317427,-43.99145877560747,2,4
-17.69608108165854,-42.516457346500395,3,2
-23.703763476578192,-46.501752271127714,4,3
-23.703763476578192,-46.501752271127714,4,3
-23.703763476578192,-46.501752271127714,4,3
-23.530162272062586,-46.82934462319268,4,3
-30.03865360764887,-51.12187833655109,0,0
-23.50321955287018,-46.396141276961096,0,1
-22.888697457782264,-43.118307020936726,0,0
-23.561189658844288,-46.47448584310014,1,0
-31.364400277636012,-51.9786473489534,4,2
-22.75248279903603,-47.65917249272995,3,2
-20.33885295949204,-41.13293113577976,3,2
-20.33885295949204,-41.13293113577976,3,2
-23.4677903228952,-46.6482062608154,4,2
-23.609499932228204,-46.932807614128635,1,0
-22.96558619184267,-43.18405306861808,0,1
-28.936707913282838,-51.5495509502377,4,1
-23.619119647963508,-46.63889260470893,0,2
-23.5342574769636,-46.8974844154749,2,6
-18.891615962728626,-48.28981551637615,0,0
-21.762287127368175,-41.33987997931834,4,0
-19.740337139221076,-45.25863430864748,3,0
-8.680312005193727,-35.58892050493797,1,5
-19.306826568443388,-48.922800961201276,0,4
-19.306826568443388,-48.922800961201276,2,4
-15.815647983485286,-47.98690836700863,5,2
-22.83922650739659,-42.22206859801617,2,5
-23.15508948167052,-46.985670211441644,0,2
-22.600004259281913,-47.40712858731961,0,3
-23.189420416902394,-46.92157334717516,3,4
-23.189420416902394,-46.92157334717516,3,4
-23.589955075176462,-46.412205866398274,1,0
-23.81452622279837,-45.36872586432735,0,1
-21.290953944399853,-43.41847642583561,0,2
-22.8033504817047,-43.035818282243795,2,3
-22.455516587510107,-43.47008296388349,0,1
-22.578126240918923,-44.96154905740904,0,3
-1.3669818638394695,-48.337637101745216,3,2
-18.433625507950207,-49.18567170784164,1,0
-20.284593073690587,-40.29540456017249,1,3
-20.284593073690587,-40.29540456017249,1,3
-23.422486463916364,-51.93840508788844,1,0
-23.422486463916364,-51.93840508788844,0,4
-23.08872861708508,-45.190653491370526,2,4
-20.34379478959137,-40.345118656210865,0,5
-23.60001479181682,-46.73968659246739,3,4
-22.437809628313733,-46.828876395047814,0,3
-19.83223092604312,-43.952955641154134,1,1
-29.733175060853192,-50.007224042358025,1,3
-20.89376471416788,-45.275613114778345,1,4
-23.518331809853038,-46.40367375241034,2,4
-23.518331809853038,-46.40367375241034,2,4
-23.54613564260171,-46.76726376980518,1,4
-16.757760238926554,-49.214015527461214,1,0
-16.715397174014267,-49.25961979845112,4,0
-15.834368774038428,-47.9827490176833,2,4
-23.66008910031581,-46.814481308800794,4,1
-22.962712938814796,-43.17081078295358,2,1
-19.92134251922916,-43.906158045219144,0,0
-22.977744928919066,-47.10415306961932,0,0
-22.920928532759326,-43.3584654815096,0,1
-23.941873053352303,-47.07320010425571,0,0
-19.81470370525168,-43.17040896837955,0,4
-19.9466341918191,-43.92852281029642,2,3
-22.934576022997856,-43.37578841332685,2,1
-23.53847816936168,-46.761621685841824,4,2
-22.661390928999936,-43.035250835999925,4,0
-23.97049317681095,-46.30819529114143,0,0
-23.97049317681095,-46.30819529114143,1,4
-23.543999145187104,-46.40018673016034,2,1
-22.841194048235693,-47.19169320126286,0,4
-22.99748379485895,-47.50572510550505,2,2
-18.91496728978643,-48.19387916693654,0,1
-23.555368925356003,-46.677209571939294,1,4
-28.50597469340668,-50.93824129882796,0,2
-23.553785206718914,-46.64960509694538,2,1
-30.030589473017827,-51.22769725328026,2,3
-22.247210939506797,-45.70752067761215,2,4
-21.246173701880668,-48.30893828156518,4,4
-19.9264100998534,-43.945864431370076,1,2
-20.304592526112486,-40.32057505886263,1,1
-22.726492189390754,-47.36806924905628,0,0
-23.666661956738853,-46.622739469527986,2,2
-23.666661956738853,-46.622739469527986,0,0
-21.706930660270253,-43.42528623659744,2,1
-23.54880596717767,-46.83024045323436,1,0
-23.61166437604768,-46.70288902408128,4,0
-23.54372870370402,-46.528241999108744,1,0
-23.54372870370402,-46.528241999108744,1,0
-23.547817339445313,-46.295623734950226,3,3
-19.82639852843166,-43.979838377679386,2,1
-20.580646788082646,-47.379732796760294,4,4
-23.69988673830009,-46.76523516249646,4,3
-23.611175665770716,-46.78672761113588,4,3
-23.611175665770716,-46.78672761113588,3,0
-22.945894102935647,-43.59445702153846,0,1
-22.945894102935647,-43.59445702153846,3,1
-22.931070810893235,-43.17611596218936,1,4
-23.495321455594574,-46.59793556042432,0,0
-20.648234723325487,-41.90925009163094,4,4
-22.61483382699214,-43.705683375748606,1,0
-3.7255889150584247,-38.49344824821249,1,1
-22.425778361057304,-47.56043670032238,3,2
-22.57062177137925,-52.39082161938168,0,3
-23.689006218373414,-46.59093312082877,3,2
-23.07552200184021,-47.19699724754161,1,4
-23.041547067984553,-50.07527867843522,0,0
-18.596844559532663,-48.69760298955123,4,3
-18.596844559532663,-48.69760298955123,4,3
-13.825204329206679,-44.4538878364606,0,4
-29.706864785465388,-53.71802555114767,1,0
-29.706864785465388,-53.71802555114767,1,0
-20.437204870234996,-44.76203405975946,1,1
-22.773281327423426,-43.41781714536901,0,4
-11.853803043353984,-55.50354540878586,3,0
-28.03873767881292,-48.6314633279986,2,4
-23.464204707776585,-47.47145666010211,2,4
-23.464204707776585,-47.47145666010211,0,4
-23.82901502757101,-49.43437700441544,0,1
-22.32342916812479,-42.54761385688767,2,2
-21.560540707693445,-45.43181837493425,3,4
-21.560540707693445,-45.43181837493425,4,3
-23.20093207307569,-51.829492726307095,4,0
-23.64513691085879,-46.76918116853053,2,1
-22.805762553276402,-45.19313514137106,3,2
-23.169668058717317,-46.88671516416493,4,4
-19.731097253636847,-43.94146568879752,2,0
-22.86489982483799,-48.44881631957213,2,2
-23.47306977592606,-46.641450366796704,1,1
-24.62205960059617,-53.322398315644854,3,2
-22.859182993934173,-43.45666561633801,1,1
-22.835828487618862,-43.276143784165534,1,4
-22.87350715228705,-43.365677543874476,4,2
-16.36381396260518,-46.89530822527895,0,3
-16.36381396260518,-46.89530822527895,0,3
-16.36381396260518,-46.89530822527895,0,3
-17.375406123452052,-40.22236401991968,3,1
-24.720782448085927,-53.720451600886705,1,1
-23.5136116256754,-46.189675064897926,2,0
-23.5136116256754,-46.189675064897926,1,1
-27.10477573247391,-48.622296201371384,1,5
-22.846064764028267,-43.31053536227513,3,1
-23.546187607081762,-46.64106743356166,4,4
-23.55611169915837,-46.65057380587253,3,1
-23.085505074199148,-46.959540960670566,0,2
-23.085505074199148,-46.959540960670566,0,1
-23.085505074199148,-46.959540960670566,3,4
-23.085505074199148,-46.959540960670566,3,4
-28.23188261767477,-48.67933195388164,2,4
-28.23188261767477,-48.67933195388164,2,4
-23.689282735863,-46.61971483359872,2,0
-23.689282735863,-46.61971483359872,0,0
-22.92791884821095,-43.23197212177495,2,0
-23.533841571703128,-46.688212912351474,1,0
-23.484291191821647,-46.089496847563716,4,4
-19.98331916932688,-44.001373863282254,0,4
-22.936425609192053,-45.4720696011901,1,0
-22.936425609192053,-45.4720696011901,3,1
-23.555493080015932,-46.65845218950068,0,6
-23.555493080015932,-46.65845218950068,0,6
-22.74151163316787,-45.10961076172543,1,0
-29.71597511610106,-53.81566407096574,3,3
-15.938605999778822,-50.142780792093724,2,4
-23.19557288719839,-45.879284650657986,3,2
-3.7805760995216473,-38.59448690071139,2,5
-3.7805760995216473,-38.59448690071139,2,5
-3.7805760995216473,-38.59448690071139,2,5
-19.9522664099828,-43.99236541157028,4,4
-23.50565448255848,-47.479115135789606,4,0
-19.906712194756448,-43.948896502581654,1,1
-22.827726551017093,-43.02889904539708,2,0
-23.478802923326487,-46.722724700331725,3,4
-23.62705221927803,-46.47316241319631,3,1
-23.745624893916613,-46.39462033694687,2,0
-31.33876803150762,-54.07827334104642,1,2
-21.301969203940764,-46.793443137862454,2,4
-20.179524111785053,-40.25832209201947,2,4
-20.179524111785053,-40.25832209201947,2,6
-22.826662975624327,-43.322531463488396,0,0
-22.826662975624327,-43.322531463488396,0,0
-22.92401542829236,-43.213547671608936,2,2
-22.92401542829236,-43.213547671608936,4,1
-22.92401542829236,-43.213547671608936,4,1
-23.63738184885249,-46.52809787861087,1,1
-22.726520341234497,-43.43963538573772,2,1
-6.7767331508993855,-43.01649873460372,0,2
-25.504914633007544,-49.300033836577406,0,2
-19.582399237133533,-46.953795723294064,1,0
-23.74693706524557,-46.69079514460873,3,0
-9.602354471317303,-35.769578680282436,2,0
-23.57951699385565,-46.64408093357939,2,0
-12.911896286260856,-38.46396969887157,4,2
-22.93453521955737,-42.91175285537234,1,3
-22.93453521955737,-42.91175285537234,1,6
-22.842072893003262,-43.265065434319375,2,2
-7.948278228033668,-34.870249228379485,3,3
-27.636045816505,-52.27304912233611,0,5
-27.636045816505,-52.27304912233611,0,4
-22.33978411439518,-46.92430967953944,3,0
-22.39213658183407,-47.57768122006808,4,2
-22.39213658183407,-47.57768122006808,3,5
-23.409197574200483,-46.51493233205057,1,3
-20.31396062242991,-40.298745283735855,2,3
-10.1445741457937,-54.86979295929829,0,4
-23.6715729931354,-46.55939447447098,3,2
-24.00465780708666,-48.35022640713705,3,3
-26.331777299276474,-48.84943205286778,0,1
-23.316305934989167,-45.940569129755524,1,1
-22.507678728605782,-41.92492452461747,2,3
-22.507678728605782,-41.92492452461747,3,2
-21.974364253989343,-42.354217759630906,1,2
-21.974364253989343,-42.354217759630906,1,3
-17.739423770726265,-48.619852631148106,0,0
-23.746673636328307,-46.79414913102024,1,0
-22.477153463969263,-46.61937324894836,0,2
-23.070864024879302,-44.955594065799325,1,0
-22.816628254842037,-43.41632496803764,3,4
-22.9391529643302,-46.54940571676925,1,4
-23.76091277395501,-46.670855845806045,3,1
-23.406857959687,-46.8611543371692,2,2
-20.850773092296365,-41.10580546208377,4,1
-28.264639959180755,-52.425420642162244,1,0
-19.967878760000023,-44.05469595324325,3,3
-20.146392423216888,-50.1957446568725,4,3
-23.62768559407367,-46.77825033395157,0,5
-22.911635694553873,-47.074763344419075,4,3
-22.911635694553873,-47.074763344419075,4,3
-22.911635694553873,-47.074763344419075,1,0
-22.911635694553873,-47.074763344419075,4,2
-22.911635694553873,-47.074763344419075,2,1
-27.59288344150436,-48.55247105419274,0,4
-27.59288344150436,-48.55247105419274,0,0
-22.91750488776345,-43.69308722014741,4,4
-22.837739320882502,-47.16973298107891,1,2
-28.02970145102417,-54.349917212016926,4,0
-16.67283325370853,-49.26887276585588,3,4
-16.67283325370853,-49.26887276585588,3,4
-23.269708279854196,-45.864566803347074,4,4
-23.69134216701428,-46.62898847868136,5,2
-23.69134216701428,-46.62898847868136,0,2
-23.69134216701428,-46.62898847868136,5,1
-22.981212941373034,-46.54768553078247,3,3
-23.3987751210253,-46.752874653023426,4,1
-23.67391548382347,-46.53815742287353,4,1
-23.67391548382347,-46.53815742287353,4,1
-21.97277927321712,-47.894128067678025,0,1
-22.85503249705697,-47.21303001959211,3,2
-19.890277616721736,-43.99936639767064,1,2
-19.890277616721736,-43.99936639767064,1,2
-28.695105316357154,-49.3733839166374,1,1
-28.695105316357154,-49.3733839166374,1,1
-23.442492952750715,-46.520640444716136,2,1
-23.595498020056482,-46.53310582777932,0,0
-22.481763564480136,-47.45995834031602,4,4
-6.259324714082863,-36.518752632087725,3,1
-23.47174879024135,-46.63677317670024,2,1
-21.973167687922782,-46.794594747496426,1,1
-23.903016322350112,-46.42480977642768,1,1
-22.995998136499594,-43.26166370342247,2,1
-22.93739161662063,-43.02214638411356,0,0
-23.725480351883828,-46.678527176581966,0,0
-23.725480351883828,-46.678527176581966,0,0
-23.559225790539926,-46.4286353366644,1,6
-12.903435111559538,-38.446526504291356,0,4
-17.082201270979507,-40.9391998121643,4,2
-17.082201270979507,-40.9391998121643,4,2
-25.527156871115327,-54.5419326190777,4,1
-23.37812187269466,-46.44830563492381,2,1
-16.769915526637487,-47.6107232623567,0,2
-16.769915526637487,-47.6107232623567,0,3
-17.854414830019373,-41.50866977456025,0,2
-16.752725205357663,-43.87182429520993,1,5
-16.752725205357663,-43.87182429520993,1,5
-16.752725205357663,-43.87182429520993,1,2
-16.752725205357663,-43.87182429520993,2,3
-23.502757298862747,-46.4646982809089,0,2
-21.203427986517287,-41.893468238320686,1,4
-23.601855983184823,-46.60890962544775,1,5
-23.66003087272816,-46.44151148849928,3,2
-23.66003087272816,-46.44151148849928,3,2
-23.337534926971802,-46.75629218018842,0,4
-21.01035927017287,-42.838483757125424,1,0
-22.294360298173427,-48.558523688387325,4,2
-18.652644433692647,-48.192235480006886,2,2
-14.861839997901695,-40.82399635883732,4,2
-14.861839997901695,-40.82399635883732,4,2
-14.861839997901695,-40.82399635883732,2,0
-20.135143747840885,-40.29981975803892,4,3
-22.943958803568698,-46.55429589206514,1,1
-8.236645735574934,-35.754820871795246,1,0
-22.760838936119505,-43.45665101381066,3,1
-29.901903486564933,-51.21251453274881,4,5
-30.015733809082764,-51.328577286421115,1,2
-22.85123122560903,-45.2466469099533,2,4
-22.268892739670076,-43.07681259121552,4,2
-30.15114647350839,-51.21736197618072,4,1
-11.730754059381912,-40.555251679022064,1,0
-19.50041526768742,-41.07286145044403,2,1
-22.89897972246694,-43.69930833968602,2,4
-22.89897972246694,-43.69930833968602,2,1
-22.902657688976717,-43.59917193270752,4,0
-22.809280363717107,-47.226570221333034,2,1
-23.56585511652645,-46.43493844446315,1,5
-23.56585511652645,-46.43493844446315,3,1
-29.765458577850765,-52.4405657366876,0,2
-15.894031399747954,-48.04967734024189,3,0
-15.894031399747954,-48.04967734024189,3,0
-15.894031399747954,-48.04967734024189,3,0
-19.91131048361945,-44.08482415053407,5,0
-23.684914927517177,-46.45695782334157,3,1
